Found 265 batch files (190 logical batches, 32 multi-part):
  batch-56.json: 3 nodes, 0 edges
  batch-57.json: 3 nodes, 3 edges
  batch-58.json: 16 nodes, 13 edges
  batch-59.json: 6 nodes, 0 edges
  batch-60.json: 9 nodes, 6 edges
  batch-61.json: 3 nodes, 2 edges
  batch-62.json: 3 nodes, 3 edges
  batch-63.json: 4 nodes, 0 edges
  batch-64.json: 3 nodes, 3 edges
  batch-65.json: 5 nodes, 4 edges
  batch-66.json: 3 nodes, 2 edges
  batch-67.json: 6 nodes, 5 edges
  batch-68.json: 4 nodes, 5 edges
  batch-69.json: 3 nodes, 0 edges
  batch-70.json: 4 nodes, 0 edges
  batch-71.json: 4 nodes, 4 edges
  batch-72.json: 9 nodes, 0 edges
  batch-73.json: 3 nodes, 0 edges
  batch-74.json: 7 nodes, 0 edges
  batch-75.json: 7 nodes, 0 edges
  batch-76.json: 7 nodes, 0 edges
  batch-77.json: 3 nodes, 2 edges
  batch-78.json: 5 nodes, 3 edges
  batch-79.json: 8 nodes, 6 edges
  batch-80.json: 3 nodes, 0 edges
  batch-81.json: 3 nodes, 3 edges
  batch-82.json: 6 nodes, 7 edges
  batch-83.json: 9 nodes, 9 edges
  Warning: skipping batch-84.json: Expecting ',' delimiter: line 56 column 72 (char 2448)
  batch-85.json: 4 nodes, 5 edges
  batch-86.json: 4 nodes, 3 edges
  batch-87.json: 34 nodes, 21 edges
  batch-88.json: 26 nodes, 4 edges
  batch-89.json: 25 nodes, 17 edges
  batch-90.json: 25 nodes, 7 edges
  batch-91.json: 25 nodes, 8 edges
  batch-92.json: 25 nodes, 11 edges
  batch-93.json: 25 nodes, 10 edges
  batch-94.json: 25 nodes, 1 edges
  batch-95.json: 25 nodes, 0 edges
  batch-96.json: 27 nodes, 4 edges
  batch-97.json: 41 nodes, 32 edges
  batch-98.json: 36 nodes, 22 edges
  batch-99.json: 25 nodes, 0 edges
  batch-100.json: 49 nodes, 29 edges
  batch-101.json: 25 nodes, 0 edges
  batch-102.json: 25 nodes, 0 edges
  batch-103.json: 25 nodes, 23 edges
  batch-104.json: 25 nodes, 0 edges
  batch-105.json: 25 nodes, 0 edges
  batch-106.json: 25 nodes, 0 edges
  batch-107.json: 28 nodes, 26 edges
  batch-108.json: 25 nodes, 25 edges
  batch-109.json: 25 nodes, 25 edges
  batch-110.json: 25 nodes, 25 edges
  batch-111.json: 25 nodes, 25 edges
  batch-112.json: 25 nodes, 25 edges
  batch-113.json: 25 nodes, 25 edges
  batch-114.json: 25 nodes, 25 edges
  batch-115.json: 25 nodes, 25 edges
  batch-116.json: 25 nodes, 0 edges
  batch-117.json: 26 nodes, 25 edges
  batch-118.json: 31 nodes, 31 edges
  batch-119.json: 25 nodes, 0 edges
  batch-120.json: 35 nodes, 16 edges
  batch-121.json: 38 nodes, 33 edges
  batch-122.json: 37 nodes, 29 edges
  batch-123.json: 30 nodes, 23 edges
  batch-124.json: 29 nodes, 20 edges
  batch-125.json: 35 nodes, 28 edges
  batch-126.json: 44 nodes, 37 edges
  batch-127.json: 43 nodes, 24 edges
  batch-128.json: 25 nodes, 17 edges
  batch-129.json: 44 nodes, 31 edges
  batch-130.json: 30 nodes, 17 edges
  batch-131.json: 33 nodes, 27 edges
  batch-132.json: 25 nodes, 16 edges
  batch-133.json: 28 nodes, 19 edges
  batch-134.json: 25 nodes, 16 edges
  batch-135.json: 31 nodes, 9 edges
  batch-136.json: 30 nodes, 21 edges
  batch-137.json: 29 nodes, 20 edges
  batch-138.json: 35 nodes, 10 edges
  batch-139.json: 47 nodes, 54 edges
  batch-140.json: 41 nodes, 43 edges
  batch-141.json: 28 nodes, 19 edges
  batch-142.json: 39 nodes, 30 edges
  batch-143.json: 43 nodes, 34 edges
  batch-144.json: 61 nodes, 52 edges
  batch-145.json: 37 nodes, 12 edges
  batch-146.json: 50 nodes, 41 edges
  batch-147.json: 42 nodes, 36 edges
  batch-148.json: 27 nodes, 2 edges
  batch-149.json: 43 nodes, 50 edges
  batch-150.json: 34 nodes, 25 edges
  batch-151.json: 44 nodes, 36 edges
  batch-152.json: 45 nodes, 20 edges
  batch-153.json: 39 nodes, 22 edges
  batch-154.json: 39 nodes, 36 edges
  batch-155.json: 27 nodes, 2 edges
  batch-156.json: 28 nodes, 11 edges
  batch-157.json: 29 nodes, 5 edges
  batch-158.json: 25 nodes, 0 edges
  batch-159.json: 25 nodes, 7 edges
  batch-160.json: 25 nodes, 14 edges
  batch-161.json: 25 nodes, 18 edges
  batch-162.json: 25 nodes, 17 edges
  batch-163.json: 25 nodes, 16 edges
  batch-164.json: 25 nodes, 18 edges
  batch-165.json: 25 nodes, 19 edges
  batch-166.json: 25 nodes, 7 edges
  batch-167.json: 25 nodes, 12 edges
  batch-168.json: 25 nodes, 12 edges
  batch-169.json: 25 nodes, 15 edges
  batch-170.json: 25 nodes, 13 edges
  batch-171.json: 25 nodes, 10 edges
  batch-172.json: 25 nodes, 0 edges
  batch-173.json: 25 nodes, 6 edges
  batch-174.json: 25 nodes, 16 edges
  batch-175.json: 25 nodes, 17 edges
  batch-176.json: 25 nodes, 18 edges
  batch-177.json: 25 nodes, 19 edges
  batch-178.json: 25 nodes, 8 edges
  batch-179.json: 25 nodes, 7 edges
  batch-180.json: 25 nodes, 0 edges
  batch-181.json: 25 nodes, 18 edges
  batch-182.json: 32 nodes, 32 edges
  batch-183.json: 31 nodes, 23 edges
  batch-184.json: 27 nodes, 11 edges
  batch-185.json: 25 nodes, 14 edges
  batch-186.json: 25 nodes, 14 edges
  batch-187.json: 25 nodes, 15 edges
  batch-188.json: 28 nodes, 14 edges
  batch-189.json: 36 nodes, 27 edges
  batch-190.json: 19 nodes, 9 edges

Input: 6903 nodes, 13895 edges

Fixed (585 corrections):
    94 × duplicate node IDs removed (kept last)
   491 × tested_by edges dropped (orphan endpoint or test↔test / prod↔prod pair)

Could not fix (197 issues — needs agent review):
     6 × complexity None → defaulted to "moderate"
